,id,title,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count,month,year,day_of_week,weighted_vote,popularity_category
2425,474227,Inhumans: The First Chapter,Science Fiction,16.184,IMAX,2017-09-01,80000000.0,2600000.0,88.0,5.4,92.0,9,2017,4,6.407326007326008,High
2426,72207,The Five-Year Engagement,Comedy,16.182,Universal Pictures,2012-04-27,30000000.0,54169363.0,124.0,5.8,1188.0,4,2012,4,6.119926873857404,High
2427,10876,Quills,Drama,16.181,Fox Searchlight Pictures,2000-11-22,13500000.0,7060876.0,124.0,7.1,535.0,11,2000,2,6.709120521172638,High
2428,418680,Goodbye Christopher Robin,Family,16.176,Fox Searchlight Pictures,2017-09-29,15000000.0,7299662.0,107.0,7.1,726.0,9,2017,4,6.752375434530707,High
2429,224141,Into the Woods,Fantasy,16.172,Walt Disney Pictures,2014-12-24,50000000.0,212902372.0,125.0,5.754,3973.0,12,2014,2,5.904010054293183,High
2430,306819,The Danish Girl,Drama,16.171,Pretty Pictures,2015-11-27,15000000.0,64191523.0,119.0,7.6,5360.0,11,2015,4,7.427044025157233,High
2431,452832,Serenity,Thriller,16.165,Nebulastar,2019-01-24,25000000.0,14454622.0,102.0,5.4,1372.0,1,2019,3,5.863743676222597,High
2432,95610,Bridget Jones's Baby,Comedy,16.158,Working Title Films,2016-09-14,35000000.0,211952420.0,123.0,6.4,2668.0,9,2016,2,6.427262813522355,High
2433,9675,Sideways,Comedy,16.144,Fox Searchlight Pictures,2004-10-22,16000000.0,109502303.0,127.0,7.07,1380.0,10,2004,4,6.8305042016806725,High
2434,263109,Shaun the Sheep Movie,Family,16.141,Aardman,2015-02-05,25000000.0,106209378.0,85.0,7.0,1199.0,2,2015,3,6.77262391996362,High
2435,130150,Labor Day,Drama,16.128,Right of Way Films,2013-12-27,18000000.0,20275812.0,111.0,7.0,981.0,12,2013,4,6.747602221100454,High
2436,11880,Dog Soldiers,Horror,16.128,The Carousel Picture Company,2002-05-10,2000000.0,3537283.0,105.0,6.732,701.0,5,2002,4,6.595609641387419,High
2437,209189,Life of Crime,Comedy,16.127,Abbolita Productions,2013-09-14,12000000.0,265452.0,94.0,5.7,331.0,9,2013,5,6.301051840721263,High
2438,455551,The Recall,Science Fiction,16.121,Minds Eye Entertainment,2017-06-02,5000000.0,1319566.0,91.0,4.6,307.0,6,2017,4,6.0537107880642695,High
2439,2207,16 Blocks,Action,16.107,Alcon Entertainment,2006-03-01,55000000.0,65664721.0,102.0,6.4,1703.0,3,2006,2,6.436995930447651,High
2440,75638,Red Lights,Thriller,16.095,Attitude Pinículas y Films A.I.E.,2012-03-02,14000000.0,13551174.0,119.0,6.2,1083.0,3,2012,4,6.34402304368699,High
2441,459202,Boo 2! A Madea Halloween,Horror,16.094,Tyler Perry Studios,2017-10-20,25000000.0,48333932.0,103.0,5.7,449.0,10,2017,4,6.252104899930987,High
2442,683340,Vengeance,Thriller,16.094,Blumhouse Productions,2022-07-29,15000000.0,4225720.0,108.0,6.707,196.0,7,2022,4,6.533923076923077,High
2443,101173,Coriolanus,Drama,16.077,BBC Film,2011-02-14,7700000.0,1072602.0,123.0,5.9,380.0,2,2011,0,6.334782608695652,High
2444,169881,The Physician,Adventure,16.076,ARD,2013-12-25,36000000.0,57284237.0,155.0,7.324,927.0,12,2013,2,6.896392319667877,High
2445,773,Little Miss Sunshine,Comedy,16.073,Fox Searchlight Pictures,2006-07-26,8000000.0,100523181.0,102.0,7.7,6160.0,7,2006,2,7.532402234636872,High
2446,150117,I Give It a Year,Comedy,16.069,Canal+,2013-02-08,15000000.0,29128433.0,97.0,5.5,667.0,2,2013,4,6.099880023995201,High
2447,12837,The Secret Life of Bees,Family,16.065,Fox Searchlight Pictures,2008-09-17,11000000.0,38105395.0,114.0,7.5,449.0,9,2008,2,6.809868875086266,High
2448,9042,The Cave,Action,16.054,Lakeshore Entertainment,2005-08-26,30000000.0,33296457.0,97.0,5.3,763.0,8,2005,4,5.980657969370391,High
2449,503616,Second Act,Romance,16.052,7th Sky Entertainment,2018-11-22,16000000.0,72282227.0,100.0,6.4,1064.0,11,2018,3,6.448449612403101,High
